ID,PN,AN,RT,ED,EU,AD,SR,EVENT,REDATA1,PH,PL,FK,FB,AP,LC,H4,H3,ZH,HL,LL,ZL,L3,L4,KR,IV,FM,FQ,TV,BV,KZ,DT,DB
,ZHNY_JS_MFXZ_1_02_ICURPV17,,AX,BW1N2逆变器.PV17电流,A,1.4.3316@E4801228A430#QP8RKJCB,INT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_ICURPV18,,AX,BW1N2逆变器.PV18电流,A,1.4.3317@E4801228A430#QP8RKJCB,INT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_ICURPV19,,AX,BW1N2逆变器.PV19电流,A,1.4.3318@E4801228A430#QP8RKJCB,INT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_ICURPV20,,AX,BW1N2逆变器.PV20电流,A,1.4.3319@E4801228A430#QP8RKJCB,INT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_IVMPPT01,,AX,BW1N2逆变器.MPPT01电压,V,1.4.3320@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_IVMPPT02,,AX,BW1N2逆变器.MPPT02电压,V,1.4.3321@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_IVMPPT03,,AX,BW1N2逆变器.MPPT03电压,V,1.4.3322@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_IVMPPT04,,AX,BW1N2逆变器.MPPT04电压,V,1.4.3323@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_IVMPPT05,,AX,BW1N2逆变器.MPPT05电压,V,1.4.3324@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_IVMPPT06,,AX,BW1N2逆变器.MPPT06电压,V,1.4.3325@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_IVMPPT07,,AX,BW1N2逆变器.MPPT07电压,V,1.4.3326@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_IVMPPT08,,AX,BW1N2逆变器.MPPT08电压,V,1.4.3327@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_IVMPPT09,,AX,BW1N2逆变器.MPPT09电压,V,1.4.3328@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_IVMPPT10,,AX,BW1N2逆变器.MPPT10电压,V,1.4.3329@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
